text,label
totally not feeling good right now  feels like a docter apointment is coming,negative
@dannywood As in &quot;back dat ass on up in here for some Full Service?&quot; ,positive
@augiebop  Clean Me!,negative
"Getting ready to watch the Giants, hoping for no rain out...wishing @CortleighE didn't have to work today...so sad ",negative
@shantelleb so has mine ,negative
@tinamj yes we will get to talk as soon as you get home  can't wait..hugs back at ya,positive
We had to know the bones in the skeletal system for our presentation on Monday!!! ,negative
"Had fun at the Orange &amp; White game yesterday! Doing homework, then seeing my Kyle later! ",positive
Filabertoes always taste the best after a night of clubing @ 3a.m. and in the company of great friends ,positive
@mlamy olï¿½ rapariga! ï¿½ casa para dizer: what are you doing? ,positive
At school with @Audexia &amp; @_dvb_ ,negative
@DOCTORARGON But I know you can shine on your own. ,positive
"@skinnylatte Hiya Chutney Mary, that is a fine avatar ",positive
@Ace_Money ,negative
@Reptitude bingah-bam! bingah-boom! much appreciated reTweet ,positive
such a beautiful day.. gonna spend it outside studying pharm...or not studying pharm...either way its a beautiful day ,positive
i hope i get better in 12 hours  and @Guzee ! going to disneyland again!!! hAHH love you!,negative
Wish i hadnt moved back! ,negative
@mileycyrus http://twitpic.com/3goxn - WOAH! i can c y. I don't blame u. i would hate not having a private life ,negative
Do I have time for a pot of sencha before going to Mamas and Papas? Need to do the hoovering first ,negative
@AubreyODay calllllll meeeeeee 914 920 8193  I'm late!!! ,negative
Just woke up to be greeted with revision. And all I really wanna do is go back on that bouncy castle ,negative
@cocoward ohhh  how devastating. . .now i need to wait till dad comes home so he can FIX MY FOXTEL!,negative
"@MissRich Was she the one on J Ross last night?  If so, then dear god how dull music is nowadays....and interviews, bring back Olly Reed. ",positive
twitter is better than myspace! ,positive
@otnaicus yes yes! Amen. Will catch it def!  ;),positive
shelb and i shall have a movie fest ,positive
@the_trav Ding! Grats. ,positive
@AndrewDearling S'alright. I met Rosie this week in Selfridges.  However Im still feeling the tigers more... hmm,positive
@jskoda It's not in assignments ,negative
@NickGayle  Loving the melaleuca  trying to hit director this month. come see me on facebook ,positive
@PerceptionCath Oh is that today?!!! I want to go..I am bored of revision ,negative
"Wow Another cloudy, rainy, slightly cold day. Luckily for us, we've got plenty of wood bricks for the stove! And alas, Felix's funnel on ",negative
@IQWXGwlK  Clean Me!,negative
Watching intro Erick E on Sensation Brasil '09. Opening with remix of @JordyLishious! Loos!   http://tinyurl.com/d5nxxw,positive
@kattas Congrats on getting into OISE (did a Twitter search for OISE for fun) ,positive
"DAY 1, Legends doing well... that is so un-like T20 ",positive
Taking a shower and getting ready for the Orange and Blue game! My last one in college ,negative
wants more sun ,negative
LOVES my nanny family and is so sad they are moving back to Denver ,negative
missing my sister - tears ,negative
watching 'a cinderella story' and eatting oodles and noodles. ,positive
Some to bring some law to twitter ,positive
"Wore Aramis Havana today - very nice fragrance!  Havana + hot java = way to wake up.  Thanks for the recommendation, Daniel. ",positive
Bummed out my phone stopped working... battery is dead and i forgot to charge it ,negative
#ASOT400 next big asot on the moon!??? hahahah sad its almost over ,negative
@k0p well my son is with my parents on a trip to Texas... i'm lonely  you may see a lot of me on here since their gone ,negative
good night. tomorrow.. more planning. sidebar:everyone is pregnant. i kinda miss it ,negative
I just had two people stop following me ,negative
"@tcy28 Easter Bunny only brings one, on purpose. Now that it's gone I am looking for other junk food in the house! ",positive
mom might have to have surgery on her ankle if the cast dosen't set it properly by the 20th    this is all my fault :'[,negative
No STAR TREK preview tomorrow   ,negative
@markgreenaway No recipes on the new website? ,negative
"@Sasha_xx about a hour away, which sucks ",negative
"@dhewlett Please follow me, ur oh so kewl!!!!     ",positive
@Floris: I know what you mean. The same goes for me. ,negative
@georgewezsley good morning..I'm having church praise @ home this morning ,negative
@_rachelx sozzzle rach for signing out of msn it went wierd and now it wont let me back on ,negative
So I figured i would give twitter a chance. I don't see whats so great about it yet but hopefully it will grow on me SOON ,positive
@Denise_V  well you'll have 6 months of legal drinking on me,negative
at The Gov. this place aint the same without TAI on stage  over there's where I met Beckett.,negative
@timpratt Seems like either choice would involve that. ,positive
No cans  ut of stock lol looks like iam on the cheap crap again.,negative
Boarding my flight 5:40AM..should be back in the A by 10. Hope this flight process is QUICK! Cuz I'm Already OVER IT! Got 2 hrs of sleep ,negative
"my niece is having her first communion today...that can't be possible, she's only a baby!!! Right?!?! Oh dear god, when did I get old ",negative
has pre-ordered her WATCHMEN dvd but is sad she had 2 watche 3 goals go in the wrong net ,negative
is more upset about her hair then she thought was humanly possbile... there's a chunk missing.  awkwaaaard.  ,negative
Good morning!...gonna be leaving the beach &amp; heading home soon   Soccer game at 1,negative
had her first &quot;Its-It&quot; icecream sandwich and thinks the vanilla original is way better than the mint. ,positive
@hoyl you should ask your cousin. i want to watch tv tonight ,negative
Why does the Gadget show website crash safari on my mac? ,negative
@suchducks on uh June 26 i thinks. and then the tampa one is on the 27th. ,positive
@macknick Yes I do tweet back a lot but wonder why you don't respond. Did you delete your facebook account too? ,negative
I love short stack forever &amp; ever ,positive
"I Give Up, I'll Just Not Upload Photos ",positive
"@CountMeOut if time is getting short, we can skip mexiburger and amoeba if need be ",positive
@docstrange Well thank you doc.   ,positive
@benhamin thank you ,positive
My ribs hurt  just decided to wake up.. I wish people would comment some madina lake pictures on myspace &gt;.&lt; tiired,negative
So after a little sleeping in and searching for a better carburetor for the TOJ I just realized I haven't eaten today. I&quot;M HUNGRY ,negative
@Lady_Twitster Hehe I should have known you would come up with something like that  doesn't feel like trapped wind,positive
Feel good song!  ? http://blip.fm/~4kw7f,positive
"Preeetty good start of a day, gettingg waxing noow ",positive
"@GoGee True dude, true!! Think I'll get a health sub instead ",positive
doesnt  want to go to work lol ,negative
@zaccolley There's only a few here. Mostly year 11s ,negative
"is indoors on  lovely, rainy, autumn day in Cape Town ",positive
i love you world! ,positive
@barryfromwat Are you that bored??  xx,positive
158 follwers only my 2nd day on twitter woohoo! yes there will be a season 4 ,positive
@dougiemcfly c'mon... say me something. it will cheer me up  say hi you lazards!,positive
Say Happy Birthday to Bentley for me  Danielle mentioned it on the radio this morning.  Have a great day off...,positive
@jamalbronson if they hatin you doin something right ,positive
Morning all. Just about to lay in the sun for a while. ,positive
"&quot;Faith is the assurance of things hoped for, the conviction of things not seen.&quot; There's my problem: I'm a visual learner. ",positive
Weekend!!! The weather is beautiful outside ,positive
just got back from  Church... Feverish. Twitting from my cellphone. ,negative
I have a long trip ahead of me. It's looking like a car ride full of Sheryl Crow. &quot;I hitched a ride with a vending machine repairman..&quot; ,positive
wants to be taken care of and some surprises of any sort as long as they're good surprises  that is it. Thank you.,positive
"Playin Monopoly World Edition w/ Lil Bro  my how times have changed, we're using credit cards instead of money and we start w/ 15 million",positive
is now suddenly depressed worried SAD that the Urinal might be getting flushed for good.    never gots the potential of the Urinal B4 butt,negative
is exhausted and not feeling well. hope @j_ohhhh is having fun at movies since he bailed on me ,negative
good day  now a nice night with the love of my life &lt;3,positive
"@dadjanin Wait for me!!! I told Josh when I get home later this year, dapat mag batchmates outing tayo to Bora! Haha! ",positive
@Pamela_BNGP THANK YOU so much!!!  Your kind words mean a lot and made my day ,positive
Well we got bene back but lost Adam. ,negative
@TiffanyTrammel oh no  that's not good ,negative
@vijayanands : got it at Oracle site ,positive
wants some company ,negative
@Winniex No time right now  im packing in 5 minutes roberts packing the computer so no computer for 1 month ,negative
This always happens to me  its not fair to get ur hopes shot down on a daily baises ...,negative
"@sidneymohede You are tucking ur kids to bed, and you are twittering??!! What's that TA (Twitterholics Anonymous) hotline number again? ",positive
wow. this weekend went by to fast ,negative
"@melodyareli Yeah, I don't either  Hopefully if it does, it will be just a fluke and melt right away.",negative
"@Fightswithbulls Thanks! I'm still working away on them, getting the human cylons done first. ",positive
"I'm up now. Had to twist, turn and spin around to get there.. Bit like an alligator but with no food  I want food..",negative
"going to work now, look at my stuff to do with new york later ",positive
"@muffinwomanxo lol yeah ask a ninja is very funny!, what u up too today? I've been on a train for 4 hours  boo",negative
@iamcyn You're back.  Thank you!,positive
watching a movie...i want a BLUE sky ,positive
Can't remember my myspace login email address or password! ,negative
@vintagepizza awhh poor you mine are all in the afternoon  massive early mark fo me ;D,positive
@bsnils hey hey!  welcome to the twitterverse,positive
"@sharonhayes @mbubrick Yes, I can do that one ;) haha don't find too many occasions to practice tho ",positive
http://twitpic.com/4h2zi - The disaster that was the broken wine bottle ,negative
I've nearly finished my placement   htis signals the end of my student life   i dont have an excuse to be such a lazy drunken bum ,negative
@RiSHELE can i see ,positive
Watching King Of Queens Marathon  can't sleep and have work @ 8am! Can't wait for my run with my dog tomorrow  wooo,positive
"Feeling really sad! No MIC Library, no canteen samosa, no article 19 room and no TMJ  But every one has to go and even I shall move on!",negative
@solobasssteve sorry to hear about the web nightmare  useless buggers,negative
@twowheelgeek Very fun. Walked around a LOT! Am totally exhausted. ,positive
getting ready to go out ,positive
@Airrun It is fun thats how I get to meet all these entertainers ,positive
@backstreetboys Thanks for being part of my life for all these years! You're the best!  MORE 16 YEARS TO COME!  Brazil loves u! KTBPA!,positive
I'm off the phone ,negative
would like to settle down and watch the football with a beer. Fat bloody chance of that. Too much to do. ,negative
@addiehartsyou YA TEXTING WOULD BE COOL  IW SIH IAD IT TOO,negative
@itsgenesis Congrats mama! Can't wait to see it! ,positive
hanging out ,positive
"@brob108  good stuff  Woop, looking forward to tomorrow  Have a good day Mr Brian.",positive
I'm on my way to work. Realized I forgot my umbrella  my commute involves 15 minutes of walking...better not be raining later.,negative
@JoelMadden Now you got me crying ,negative
in work! uh oh the sun is gone ,negative
Spending the day w/ my real family!! Can't wait to hit red robin  ,positive
not going to school today. ,positive
@davemcclure haha! yeah that does sound closer to it ,positive
@KennoD Hey! When did you arrive on here ,positive
Pleasee someone talk to me! I'm at a track meet all day long ! ,negative
"@patrickem I'm really surprised at how good the case is, going to buy a few as I can see me scratching it quite a bit ",positive
@ClassicRockMag excellent! I get to see it next week! Let us know how great it is ,positive
at the fitness center. Text me!! ,positive
reeeeeeeeeealy wants some Mickey D's dollar menu cheeseburger. I'm huuuuuuuuunnnnnngggggrrrrryyyyy ,negative
@cyn3matic And I can NOT find the dang petco receipt!  AAGH!  I didn't even think I'd need it to return a deceased hammy. ,negative
Cooking his momma's secret beef tips recipe ,positive
@AubreyODay and you're f'n hot so it makes it that much easier to want to cause mayhem w/ you! ,positive
@sarahbear37 http://twitpic.com/4ied9 - OMFG AWW I WANT ONE ,negative
jammin to the musiccc ,positive
"Good morning, Nashville. Looks rainy &amp; chilly today. In other news, wifey feels flu-ish. ",negative
"@larsvansusteren http://twitpic.com/3lq8j - Oooo Yeahhh,, indeed, It taste very good! ",positive
@spiderogumi_ you're ill? What's wrong with you? ,negative
10 hours of travel later team shark arrives home!!! Wow haha but anyway it's cha-cha time ,positive
bored. what is he talking about? Miss S is mean 2 me  b**ch,negative
@canthelpmyself Let's co-write music tonight!!!!!! ,positive
@Jennisms hopefully I'll be off at 5am or 6am  life would be great if we could work and Drink at the same time! hahaaa,negative
Chillin ,positive
on a random update: some women just shouldn't be mothers  *grumble grumble*,negative
"just saw the news about Newcastle. heartbroken, I am just heartbroken. ;) Did wish it didn't come w/a Liverpool win, though. ",negative
@Gurlstrange butbutbut you cant twitter on that! bold and storm are so outta my budget.  sigh.,negative
"Mmmmmm. Tweetie is quite neat on the Mac, does what it says on the label. Will try it for a day or two. ",positive
"sitting  with gf on lap, *happy*  ",positive
"i always wake up, craving these juice boxes my mom buys my brother for school. but this time she bought kool aid jammers.  ....",negative
http://twitpic.com/3j48q - it was so preeety loved it ..we better go  nd mad cuties ;),positive
@georgegsmithjr ok thanks! I ordered 8 pairs online too! Only cost me $106! Kids cant wait to get them! Have a great day ,positive
@MyTwitsAreReal have fun ,positive
@jason_2008 Hello! Im out of coffee this morning..that's what i get for winding you up yesterday!!! Lol  Have a good day!,negative
@Autumn_M_Thomas That food was horendous!  FAIL!,negative
"@milliemagsaysay haha you dont like spanish??  i can teachh you if u want lol, i like spanish but english is better lol",negative
Its lovely to have some gorgeous weather for a change in the Cotswolds ,positive
@tommyoroguestar i can't this sat  but that guy is pretty funny,negative
@danecook  I won't even attempt that one. Ohhhh nooooo. I just hope it's nice ,positive
I just realized how lonely I am now ,negative
"@tiannafilippi I was just thinking about doing that myself, actually.  ",positive
"@MussoMitchel I wish I could demand you more than once, but they won't let me.  Can't wait for June 2nd when your album comes out!  ",positive
the seas are rough today....my stomach is not gonna be happy ,negative
Just dropped off alice ,positive
Sorry guys gimme 2 seconds....I will be back when I leave the park. ,positive
Ugh im so tired dont feel like goin to scool! ,negative
Booored at work.. ,negative
@uzee Don't betray Symbian!!! ,positive
"skyping friends in the UK, spicy lentil soup nearly ready, Pretzel Logic playing = perfect sunday evening ",positive
KUhawk5  Ooops.. I had a bug   But I fixed it..    Try that tiny URL again..,negative
"@shamim86 show was great thanks! Bit jaded from last night, I think we were equally as bad. Honestly, its freezing ",negative
just wanna have the greatest friends ever... ,negative
is in lots of pain today.  ,negative
@lkutner ooh good idea. i'm wrecked too. wish i was still in london  i loved it.,negative
This is crazy!!  Its technically a vacation day 4 me and I'm up nearly same time! AH!  Bike learning day.  If Mel falls over Ill post pic ,positive
"lots of activities lined up on the warmest &amp; most beautiful day of '09. dog park, basketball, bike ride and more ",positive
@FantasyParade YES. I. KNOW. ,positive
I wish there was something for dinner. ,negative
@TraceyMorroll awww. I knew i shouldn't have asked ! Sorry. ,negative
I keep going in to FreeRealms literally moments before they take the servers down. ,negative
dont cry plz dont i will cry if u cry ,negative
@FuckenJew Too shy for that. Plus he already stole my brain in my sleep. ,positive
cant believe this fucking mess ,negative
back from spain last night  missing the heat the sun out in england but its cold lol x no shcok there then,negative
"is going back to work in 3 weeks. troi oi! see what i do for a damn car? shower time, then off to study    gonna be one long shower...",negative
Have to work 11-4 today. Then going home and doing homework. Looks like its gonna be a fun Saturday.....not ,negative
i'm so sick of living in the city ,negative
"why is the world so dark to me? I need to get out of here, i need some change, i need new faces and new sights! this is an S. O. S ",negative
@JustinSxE Now i know im gonna have good dreams  cuz someone other than me hopes that i will. lol. ,positive
@NicoleMM05 you are nuts! I like how you have yet to go to sleep and I am just waking up ,negative
raced with Linsey and Jules this morning . . . who knew the OUHSC had so many HILLS? Geeee . . . they about did me in. ,negative
"@Namastizzle it involved a laser mounted on a vibrator, but sadly we didn't get the USB Humping Dog into the mix in time ",negative
@tishous yay chuck klosterman!  ,positive
"@ponder actually your right, I'm going deaf must turn up tv. Rte twitter says 25c ",positive
"@Kroc woops. I'll update it shortly.. right now, I think I'll wait.. just cut my finger open on a large knife ",negative
Yup I still play. Though I haven't seriously played for three years ,negative
I suck.  ,negative
"shower, than out to do some shopping at ma fav store.. urban outfitters ",positive
@princessbuddha im having the same problem.. i never drive anymore! ,negative
home! For a few ,negative
@D_Deighe  Thank you! ,positive
@Kathrynsweets  Clean Me!,negative
you have the luxury to work it through  re: http://ff.im/1WDky,positive
@shandrab U are gonna get it!   I have to pace myself so I don't get put in twitter jail...LOL!,positive
I don't like Twitter. It sucks. I don't get it! ,negative
@kealahBOOM haha thanks ,positive
@D4MO  I'm happy to add her!  No thanks necessary  ,positive
M is the only thing I know like that back of my hand ,negative
Very difficult to study with our Parrot screaming his head off ,negative
I have a holiday planned to Hong Kong next week to meet my best friend. How? ,negative
dressed getting my hair touched up BABYSHOWER  ugh it looks so nice ima twitpic it later,positive
Off to New Orleans to see my grandmother one last time... ,negative
@theriz28 Almost there. We can talk ,positive
"baytown is flooooooooooooooooooooded, my lil buggy couldn't drive on garth rd. ",negative
Beautiful morning today! Perfect weather....if only I could go for a walk ,negative
No marching today  our band parade is canceled due to bad weather... ,negative
is now sitting ouside enjoying the sun ,positive
@mathys Wow! That's customer service! I've tried posting a few photos now and none appear on Twitpics and I don't know why ,negative
woke up with a migraine this morning ,negative
going back to bed until 10:30 ,positive
Not looking good for the Shakers ,negative
@JC_Live yeah - looks old skool on a large screen ,negative
I am so bored ,negative
"It's raining in Shanghai, but sun shines in Vienna  - http://www.flickaday.com/p/129/93548",positive
doesn't know where her picture and background went. Come back! ,negative
@alinayalumba yes  i miss you here.,negative
"@docky arrrgh, I wish I could make gaaaaaames. Teach me Dock. Teaaaccchh meeee. I want to get MF2 but can't afford too atm. ",negative
@MrYoungHarlem  getting splashy I see ,positive
is not very excited about uni 2morow... i didnt even manage 2 catch up over the holidays ,negative
"@Nessepes just put the @ and his name in the screen above , because you can't reply to him yet ! But he should get this  Lets hope , haha",positive
@Ben_Hall will pass on your details to the man in the know ,positive
@httwomensexpo I hope today breaks attendance records! How are your feet holding up? ,positive
@libationblog will do! ,positive
"was toying with the idea of trying out Tweetie, then realised it's OSX10.5 only - 1st time I've been old my os is too old ",negative
people...how fun ,negative
@dullyM thx very much 4 being a fan  if i haven't told you already: download 3 of my albums for free / donation at  http://bit.ly/akKAS ,positive
Whats the difference between peanut butter and jam? #HIMYM Refer: How I met Your Mother's last episode.. I know the answer ,positive
My stomach keeps doing some sort of cha-cha-cha dance. I miss you so much already ,negative
@xtremedz I think i'm falling in love with you!!  xxx #iloveyou,positive
My ears hurt ,negative
@tweetstats 504 Gateway Time-out  Need some help?,negative
Wish I went to see Joakim last night. Poor decision making ,negative
wow! an additional two for my followers! thats nice.. lets go twiting.. twittwit.. ,positive
"@paigeholliday lawl, its fun xD. its just basically the status part of myspace and facebook ahaha. ",positive
"Always get insane download speeds from Microsoft site. Currently getting 525 kBps. Yes, that's kBYTESps. ",positive
ohhhhhhhhhhh what a beuatiful day...............wohooooooo hot hot hot ,positive
@rushiv Shastri just said &quot;six&quot;  #ipl,positive
My phone doesn't fit in my car dock with the new case  hope it's not busy at work- wanna watch secret life all day,negative
@Mrjones2011 gimme some ! ,positive
i miss the bottomless pit ,negative
Doesn't get to meet John Green today ,negative
"Tried to go trail running with my group today, however, I couldn't find them in the forest!  ",negative
me hazel and amanda r away to shop/ go to the cinema then stayin at hazels tonight so no twitter till tomorrow ,negative
"Getting read 4 a good day. Yesterday, couldn't get focused and drank too much coffee. Back to healthier tea 2day! ",positive
@amber_benson haha...i had to look that up. NYC is def awesome! I can't wait to go back someday ,positive
"@amalinaaa Yea, i feel like he always compare himself to martin. Okay, get well soon Amalina! ",positive
Pleo makers Ugobe filed for bankruptcy in the US yesterday    http://bit.ly/14E50r,negative
@Barefoot_Exec Good Morning Barefoot Crew! Hope you have an awesome time on the cruise. ,positive
Added Mozilla plugin for Twitter. Nice but not as nice as a working Gnome screenlet would be. ,negative
@JLSOfficial Ha Ha . Awwww Not Ganna Be Me Only Got 75  X But Anyways So Happy to Here From You Guys . !,negative
@yogesh_s working tomorrow so couch time!!!  shae....blotch on my friday night career!!! sigh!!! shit happens unless u r constipated!,negative
seems TweetDeck won't show tweets in Chinese ,negative
burny myself again ,negative
Made a herbal remedy for athletes foot with Ma today for my Dad. Here's hoping that it works  Fingers crossed.,positive
"@carmelaramirez I THINK I ONLY WENT OUT LIKE, 5 TIMES. I DON T KNOW. :| I WANT TO GO OUT. :-W  AND YES, I DON T WANT SUMMER TO END YET. ",negative
@k_rab Welcome to twitter world!!   Have you downloaded tweetdeck or are you yet to discover that new addiction!? xx,positive
jumped off the wharf today. in the coldest wind and rain...really cool ,positive
's spring break is over and she has to go back to school! ,negative
@chainsawchelsea  i didnt; know this  d bag had your sets! i wanted new chelsea to dream of ,negative
@Almack1874 God help the poor person who has to try to get you to do anything you don't want to ,positive
"Ok so pretty bad day of golf today, oh well rematch on Monday ",positive
@peaceoflove08 alright. well just let me know.  good night.,positive
@HeavyHand pic is just silly.  fundercats.com is the name of the video blog site.. why? because it's awesome? ,positive
Damn I think I'm weird. I'm the only one who can eat Grits by itself and Greens by itself ,negative
starting to worry about the java exam... ,negative
"@BritneyLovesU thank u, i don't know how to use this site properly! i'm good thanks, how are u? ",positive
@dancebabydance it's my birthday too! I'm 16!  Happy Birthday!!,positive
must.go.to.bed.early! ,negative
"@meeshellmabelle They have a 2nd show right after, so I don't think we'll be able to  Unless we hang around Detroit for two more hours!",negative
Back at the grindstone. Grinding away ,positive
@BriggySmalls - won't be able to make it   Got stuck running around! Have a pint for me! I'll see you on monday. Go gunners,negative
@daveredford you dont need her help to look crazy ,positive
@patmaine wow i wish i was there ,negative
I hate goodbyes. So much ,negative
@LittleFletcher ah im doing RIPH revision atm ,negative
how are you all? Supz? Vaca over soon ,negative
@SEAF2009 I am strongly considering improvising. I missed last year I was so sick. ,negative
@WaunDaun oh wait that's a clothing line or sumthin like dat...forget it hehehe ,positive
@empireofthekop that's pants  hope he's back to fitness soon,negative
@teammxjacobb Yeah i did. i made him sad and everyfink. I made ppl hate him.. ,negative
Looking for a good Sci-Fi movie. Any recommendations? Please reply. ,positive
@portiswasp  I don't think I have ever been as jealous of anyone,negative
sin bateria ,negative
noooooo! Family Guy on BBC3 for the next 3 hours...I should really go to bed at somepoint soon though  AND I'll miss new FG tomorrow. grrr,negative
another manic Monday  Have a good week everyone! ,positive
hey Laura well youre a bitch too! hahahah i cant help it she doesnt deserve him. he'll be happier with me and he knows it ,positive
such an easing effect: watching other people run ,positive
watching some man cry on tv !! its sad ,negative
"Today really feels like spring, how many days until our next snow? I miss it ",negative
"Why does Johnny Cash singing Hurt reduce me to a sobbing mess, everytime I hear it? ",negative
@Chris_Willow totally owned yeaahh! ,positive
"OMG i just remembered as well, i saw a guy at work who had the EXACT same eyes as my fav lil vampire family  @_megzy yeaah its good so far",positive
@TessaXcore what happened? getting arrested blows ,negative
doing homework ,negative
@Shmephanie5 i mean adam... ,positive
"@improvedk What's the point?  You're not going home until thursday anyway, right?",positive
I just realized that i think about important things when im watching jonas  and thats a good thing because i dont do it enough,positive
Smoking a cigarette then reading Breaking Dawn and going to sleep. Love you all! ,positive
It has rained here for like 10 days...now I have the BLAS ,negative
Enjoying the F1 whilst updating FS profiles. Back to work tomorrow ,negative
*(#@$Ed's going for a bike ride and there are roving graham crackers everywhere ,negative
Battlefield Heroes is just awesome! ,positive
everyones together....... except me ,negative
Ahh i dont want to go to school!!!! ,negative
@JenNipper sorry  not bringing our phones was a BAD idea.,negative
"is thinking that it sucks that direct tv doesn't have on demand  sesame street only comes on twice once at 6, then at 10.",negative
"loving the Indians/Yankees score... 16-2 Indians, in case you didnt know ",positive
@sensonize Hello. Would you like to advertise my tech blog for your hosting company? Please tweet back. Thanks. ,positive
Stuck at Secaucus Junction for another hour and a half until our train comes. ,negative
im up here talking to my BFF! she is sleepy and so am i  58 days til BD!,negative
staff communion.  i love it.  not on mondays though.  bah.  ,positive
"@girlytech read your blog...not sure why it's so much drama  really, just.. yeah it's not that bad  Tehy won't freak out over a late fee",negative
my tummy hurts ,negative
ohh thats heaps good. Ps Julie is AMAZZZZING! oiii!!! im moving to ENGLAND next year!! ,positive
@TheBetterSexDoc Oh yeah! I certainly will gurl! I can't wait to share pics! actually I need to post some of my first five ,positive
@latanyav I don't kniw why I don't see ur @ replies too me.  I was ignoring u yesterday jus didn't see them   so sad I wasn't the cali gir,negative
more 3 days for relax 4 days... ,positive
@loveivy I think I should but I'm rushing my exams revision. ,negative
@brianhancock wonderful! See ya ,positive
"&quot;Der schatz der weissen falken&quot; in the tv magazine they also say it reminds them of: Stand by me, nevertheless it's an entertaining film ",positive
"@saikano1 its 10:13pm here now, i think that means it will finish at 3am.....with work tomorrow...not going to happen  #asot400",negative
@dontwalkawayy Aghh! No fair for you. But she will use the backdoor to LAX Anyway and security will protect her more than the passengers ,negative
@dougiemcfly Shame about the pizza service though ,negative
Cap'ns making fun of my story.  -Steffy-,negative
@Donniewahlberg Donnie know that the gift we all cherish is the luv we feel from u  u r the best 2 ur fans..nobody else like u..4 real xo,positive
I forgot my sailor uniform and lost my wallet I can't cut a break ,negative
&lt;--- focused on watching  http://plurk.com/p/n1bzs,positive
@withloveroxy Tuesday. Call me later ,positive
hacked my P1i to install new theme and icons ... some of em work some don't ,negative
@ientje89 aw i'm fine too thanks! yeah i miss you so much on the MFC  but hope we can talk later on today  kisses :huglove:,negative
"@AndreaDuke15 nope, just agreeing. ",positive
#asot400 -0 mins left  . Join the fb group @ http://bit.ly/asot400,negative
@theollymann sounds like you celebrated the nomination properly!  best of luck. so excited for you all! ,positive
