text,label,source
poor quality and misleading description rv tlycsg lbuacd kjmdpl zqwwwu,negative,review
worst service ever tw ifccpl gmdpza ncpucg vnmkuo,negative,tweet
so proud of everyone today winning tw abyheg mlvuuc ssicac guozec,positive,tweet
grateful for good news tw nlxzkn tqdmsg ibwnaq zrvxxx,positive,tweet
lunch was fine tw qudztk fhoxca xbvvnq pmczni,neutral,tweet
average product for the category rv lzrncg yjcpit cslhyr arurzj,neutral,review
terrible experience today tw vkejtt dycvyq ypzogj vppqir,negative,tweet
five stars would buy again rv qumbay radpsq mpwpre gcfstl,positive,review
packaging was standard rv sbqecv ggkmrx wgdoeh ynumpb,neutral,review
grateful for good news tw yttits ththhv alcwyp eqtpwu,positive,tweet
poor quality and misleading description rv mklzqd molytf grgdsh jryscr,negative,review
best day ever blessed tw bhgvle yxcdxb htejak wzdjop,positive,tweet
delivery took about a week rv mhpyce bmhdok lfsopm bdilqj,neutral,review
train delayed as usual tw xcdvro wehxgg ldbias ndiuso,neutral,tweet
delivery took about a week rv asnqkn qrwruv rnycby qkvtpg,neutral,review
packaging was standard rv osipps lazbgj kyeyeb fnfmth,neutral,review
excellent quality and fast shipping rv lvpfxv awxewm mlwmrm yftlsd,positive,review
arrived damaged and late rv tugayj uqlewp olqmyp bgmkne,negative,review
meeting at pm work tw eyafqx dfgodb npfuzq pexrnm,neutral,tweet
poor quality and misleading description rv ajdhiq fbqzit hdkgtq xgytce,negative,review
neutral experience overall rv xoocsq yrqhoi hilbtm qktgqb,neutral,review
terrible experience today tw nnidvq oplqyb xhbinr okamgk,negative,tweet
customer service resolved everything quickly rv wcvxep jmtfzc drvzur eictws,positive,review
neutral experience overall rv sahkzy todppc pwagbl nqobsj,neutral,review
neutral experience overall rv hxgzfa yhizis lnapci qpymlb,neutral,review
worst service ever tw fubxpz abcktj cnlvvc mxehds,negative,tweet
arrived damaged and late rv jedygi qxkjri ebgkgc nbwpsv,negative,review
train delayed as usual tw okuvrf gydyhg jqjkyq pdvjtg,neutral,tweet
this is unacceptable tw bxfzyg inoutd ufcjcm dickas,negative,tweet
reading the news tw tuicju tcxkbo nyfuqg sounue,neutral,tweet
this is amazing work tw twmuck vrmkuw yprbtc huvjhx,positive,tweet
weather looks okay today tw igfjiw oicpls llyuqo uvfbsm,neutral,tweet
delivery took about a week rv izboxi ahgoii tustqo athhtd,neutral,review
neutral experience overall rv swmuds ymrbjl alfcce ybgzna,neutral,review
weather looks okay today tw yudttk etraxa zmcywk lyyrcu,neutral,tweet
perfect fit and great material rv hvowsn qxwvzv mzrabr zukwwe,positive,review
refund process was a nightmare rv dwxmum wtcaby wxquef viezxd,negative,review
five stars would buy again rv wleorc alkuqv bbaepv fxecjf,positive,review
this is amazing work tw ancjvu tpgdag fujcpd jzmppv,positive,tweet
refund process was a nightmare rv oohyjt ihvcvi wrpefl loqkmi,negative,review
refund process was a nightmare rv vcyabj ufbeqr nndmrb xcttbh,negative,review
meeting at pm work tw ibnupt dpnmkd efdlyz bbcidr,neutral,tweet
not happy with this outcome angry tw ugsqhz yigacr ovvcqm gpkttq,negative,tweet
not happy with this outcome angry tw bepixl njityi qknfkx pyervu,negative,tweet
disappointed again fail tw plvimm wzdonn eajods masjbu,negative,tweet
so proud of everyone today winning tw qencho lanbmq lhmclh akdwuk,positive,tweet
excellent quality and fast shipping rv uzbadu ygnlwd bhijji ettbmp,positive,review
average product for the category rv rwvykf peqoxm axheaq porhio,neutral,review
not worth the money at all rv kpuuhs ivaksu yrbevn afwtii,negative,review
this is unacceptable tw zeqdus zmyuir fkgcca nauyse,negative,tweet
delivery took about a week rv hksuqg tqkuuw sxbozt wzsnlq,neutral,review
lunch was fine tw ioejen ifhnjf qchctb suzzxf,neutral,tweet
it works as described rv ieeuvv jkmjcc stfllc ekhqzb,neutral,review
not happy with this outcome angry tw smgjuq botpbl atokjl dalxfm,negative,tweet
this is amazing work tw tzkmaj nmycxr hsqfvm feijip,positive,tweet
stopped working after two days rv gvefyy nuxyee pooogg cnxqwb,negative,review
poor quality and misleading description rv stagqa gkdyxx iqszyk xhrfws,negative,review
love this update happy tw jpedwi kqnqgw gtbdsx uqcpxw,positive,tweet
average product for the category rv wipprr iaoazw wtinkp ooybnc,neutral,review
love this update happy tw xxvjcg otppfh ntezsy ftvqif,positive,tweet
not happy with this outcome angry tw fjylts eqdmwz dkrucz jromsn,negative,tweet
lunch was fine tw lfxago lqgasj kdliqa tibuiu,neutral,tweet
amazing value for the price rv jwckks ikzvbd dtextv fbvypl,positive,review
meeting at pm work tw wxapgz nkdcqs hsianw llyorw,neutral,tweet
perfect fit and great material rv qmsios yafljy rlxhmy enrsbi,positive,review
refund process was a nightmare rv jeujcx bupzwj xbepia vunpzy,negative,review
lunch was fine tw gynixw yfiqvb tmfvji angazn,neutral,tweet
terrible experience today tw ardejo gusylb aggjfh ixfkrh,negative,tweet
amazing value for the price rv ikxsmo ckawbn nvmnic caumlj,positive,review
grateful for good news tw yeztai eerizf dvaeal zzhska,positive,tweet
delivery took about a week rv xcncff dzkbyh xsvmwk lrznwq,neutral,review
stopped working after two days rv cofmeq ftnrfu yjjqky avaoeq,negative,review
customer service resolved everything quickly rv ocgqbn odhbow hkcbjl qipjgz,positive,review
stopped working after two days rv pvomiz cjtbag zrkafx zkkcxx,negative,review
delivery took about a week rv hfdtql ysvnlz lycvvx aekamn,neutral,review
disappointed again fail tw lekmsx ajbsrg mnkylz vzeqvt,negative,tweet
it works as described rv vureds gqnrfp rziyoe niwzgt,neutral,review
so proud of everyone today winning tw euldfr mqexha yajovx rnrmhh,positive,tweet
train delayed as usual tw lrpjdh dyyjno khvndf okvdlw,neutral,tweet
refund process was a nightmare rv fzpmme arbqea htdobu yzfngv,negative,review
this is unacceptable tw wqinrs lbbspw ldspwc exxqyy,negative,tweet
reading the news tw oabtba vihmlu kclxqi qemmsd,neutral,tweet
terrible experience today tw mngqhn dykdod qepylw jrxbck,negative,tweet
poor quality and misleading description rv fxegvu wyjvmc jjzmmf pngxga,negative,review
it works as described rv lyimjm gsrwto adjvuu klpaht,neutral,review
train delayed as usual tw gycyvn iooxeu kcfusk oqywxn,neutral,tweet
best day ever blessed tw sjwjav miasvy xbtxpj yzhtzl,positive,tweet
refund process was a nightmare rv namcxb mknohh oyilob cmkeon,negative,review
weather looks okay today tw lxferf hzakfy iqaqqb mefbpe,neutral,tweet
arrived damaged and late rv imncjx jponcq uyunqp vaixox,negative,review
refund process was a nightmare rv sehpye sremrt hhiwqv nvjtob,negative,review
amazing value for the price rv adtckh alpxxz ugxjpe ihlrnc,positive,review
weather looks okay today tw youfvd msunnn guathe ttqcts,neutral,tweet
excellent quality and fast shipping rv tqpuhu cgosov dnmtrx jdnmde,positive,review
amazing value for the price rv famvwi zjucyd dvwtpy grrcqe,positive,review
five stars would buy again rv zfaxqi mpevsy fljgyu kxlczs,positive,review
packaging was standard rv scybuz ymulda nibpbo qgyrvu,neutral,review
stopped working after two days rv wxisul mjoxst rimayv kqnvot,negative,review
worst service ever tw nyhtcb elpjge mgubhx toxkei,negative,tweet
this is unacceptable tw fgyniy yxlqwp uwlwbu mnxhhp,negative,tweet
so proud of everyone today winning tw esvhdx izhrnm gezxep zafnpe,positive,tweet
reading the news tw gzyiwe lybphh uakltp rezikp,neutral,tweet
disappointed again fail tw dlcydq yyknof igqboa cuwvxo,negative,tweet
delivery took about a week rv yrbxyz wkeqsa vkmnlc rgorzj,neutral,review
packaging was standard rv thnqgk utscno niaheh zsvcws,neutral,review
best day ever blessed tw tpwkoh nmybtx mxkmtx strquw,positive,tweet
packaging was standard rv xchoho cjlbhc drbwem vmuszd,neutral,review
worst service ever tw crykpt bmjwop udltda hbaedk,negative,tweet
best day ever blessed tw upnvpn wopfcs azyhjb ihrjfy,positive,tweet
this is unacceptable tw vjhgxf nqzzgc sauvdg bzealy,negative,tweet
average product for the category rv mhbxqw esfuiu reqohf zdbpvw,neutral,review
customer service resolved everything quickly rv bfttbo xxcnns anheej qudkki,positive,review
refund process was a nightmare rv bvmgkq lhaxca ycyeor smtkcz,negative,review
excellent quality and fast shipping rv zskdoc lfgxsc ayeusf yxsxlv,positive,review
arrived damaged and late rv uhivsr uulftp hlmyck wfmmlk,negative,review
perfect fit and great material rv stleyw spaydh odeign lrkrlm,positive,review
disappointed again fail tw nfrzid ovofel xnalwg dgjbem,negative,tweet
five stars would buy again rv acjgpi uxqgbt gasnpc gvspct,positive,review
reading the news tw klpyhr kphnra wcdseh nbgonr,neutral,tweet
refund process was a nightmare rv glgilu rcslnk owerlh lhhsus,negative,review
delivery took about a week rv icjevt vajtlo uonfkg vyurjo,neutral,review
delivery took about a week rv njdfej ypiaus rlgwof bhhlbk,neutral,review
five stars would buy again rv srhblf dnsags zffafx nszrad,positive,review
this is amazing work tw ccfkhk kujwit umioyl xsqonf,positive,tweet
this is unacceptable tw auhwho tghpxy kzxmgm falacl,negative,tweet
not worth the money at all rv bztucs hkdcpv jllkyv hwowby,negative,review
so proud of everyone today winning tw nhzpzy mlszxy wsdnei pyhcjt,positive,tweet
refund process was a nightmare rv caygzq izwodk mplnnx kaukcr,negative,review
this is amazing work tw zndnee sssydd sydzjr lnimup,positive,tweet
packaging was standard rv oqgcag dizzly mikpey eokvpt,neutral,review
customer service resolved everything quickly rv jgzzxl oiqyhk enqbmi rnbxno,positive,review
neutral experience overall rv afcijj czlksn oihhhv vqjvsx,neutral,review
average product for the category rv iltusq jvdwxg hpnqoa kwqyap,neutral,review
neutral experience overall rv skylcs ueixoi vcccpv gmoagw,neutral,review
average product for the category rv qutosr qopkji kqioyj chiadt,neutral,review
terrible experience today tw zdnocd eapljw leotqy kfwjax,negative,tweet
five stars would buy again rv zejqsi fbjmmv izxrtn npnbkz,positive,review
excellent quality and fast shipping rv kzdehs lyspqd kliemu byvzto,positive,review
so proud of everyone today winning tw bvciov nptoni gyqdln djvvsp,positive,tweet
love this update happy tw ucxvea owkbcc bfzirc shinmo,positive,tweet
best day ever blessed tw ktvjws esslzk nfakhz hwxuni,positive,tweet
not worth the money at all rv hpyemg csszyl xumtuk lsyfuf,negative,review
arrived damaged and late rv bntvnv fmcnri lkfkfy upxjca,negative,review
poor quality and misleading description rv apcnpl gzvwfd mhzwgn dzhcpt,negative,review
train delayed as usual tw ktrgzu gttdjx bxgqzq jhzmnw,neutral,tweet
it works as described rv ypbpcu wrvdft fhxmdg sdegpo,neutral,review
reading the news tw meiknc qlcpjx jnaajk fwceqt,neutral,tweet
this is unacceptable tw euhnuz rgcjyo epnadf exwopp,negative,tweet
amazing value for the price rv ubonmg vjtygw hsnlaj utmfog,positive,review
delivery took about a week rv pqalhr ggxrlm sgfxtd hntmjx,neutral,review
reading the news tw nwitmu shulpq vfjhjv ppzumt,neutral,tweet
terrible experience today tw uatpaa vfnrww pymrcz uucrav,negative,tweet
delivery took about a week rv pljlic miqpte vwcbim neokux,neutral,review
weather looks okay today tw txaedu nnmzpz bqbqla snbqzk,neutral,tweet
five stars would buy again rv euheve biciip iugxex qxdcnl,positive,review
meeting at pm work tw pnzqkk apqtmo tglewc twvmfz,neutral,tweet
it works as described rv sverzp sqypfq pgzwci zfzjsl,neutral,review
grateful for good news tw xxlzer bsrrkv dnlvyn xbjtjl,positive,tweet
arrived damaged and late rv hwkbnp koqtnq zxhgkl woazpo,negative,review
reading the news tw iwpzmy rydnws tlvpam bpycpi,neutral,tweet
this is unacceptable tw zblcnt xtcrpe ixbdbp qhulnp,negative,tweet
meeting at pm work tw cdsadp bpzlmr difsrz hckffu,neutral,tweet
average product for the category rv pyqcsc hxlalw xhxwjt iyctwp,neutral,review
average product for the category rv khqdlc rfpevg yqenie sldqkf,neutral,review
excellent quality and fast shipping rv jxrave ilwlsr ldmbed dsvdkr,positive,review
stopped working after two days rv uhikcu lzxwbf keqljn dhazro,negative,review
not happy with this outcome angry tw ippykt nklvkk hlvmmt blkzda,negative,tweet
so proud of everyone today winning tw cmqohg slbbjp tuvpjr adneix,positive,tweet
grateful for good news tw pqmrdi yiwogt jwpgde cofwoc,positive,tweet
arrived damaged and late rv lqfnon elsanf abhwmg zqvluz,negative,review
refund process was a nightmare rv tyxzgi nvwovl jucrwx ehznrq,negative,review
train delayed as usual tw ygjunm nmcpap dkrptm jpzyjy,neutral,tweet
stopped working after two days rv mswlfj oyiymn xkvhkg rswwwn,negative,review
love this update happy tw kufkub aoigyy fsyfpz yycetn,positive,tweet
not worth the money at all rv fjeufu fxidwt qzxhzz bnvhfx,negative,review
meeting at pm work tw xzyagm jmyroc sdzweb hxwrdr,neutral,tweet
meeting at pm work tw hiozbk owuiyz fgryru kxmyly,neutral,tweet
terrible experience today tw zdcuat ndpxyt rduoqs zbvjng,negative,tweet
meeting at pm work tw pmbwwi iubsaw ptuopf pxuyrz,neutral,tweet
packaging was standard rv btnvmn xaernl xgrgsu locnjm,neutral,review
excellent quality and fast shipping rv wzmeei ctonro qiztjp ocvfsb,positive,review
so proud of everyone today winning tw ojfmvq wyjwdu jlthhe peoxtl,positive,tweet
lunch was fine tw gyrzpr pkuhko wpqrxx cdnwcm,neutral,tweet
so proud of everyone today winning tw nqayyv apeuft zahitz jwwuin,positive,tweet
neutral experience overall rv bxmhkc nqkeue iomxpl dekwrg,neutral,review
amazing value for the price rv dpkjhq ayfojc jqkwov fmbfsf,positive,review
love this update happy tw svmcyt jzhwcc iemwzu exmkld,positive,tweet
it works as described rv fjrzoh snfmel tcqrhw cfjusz,neutral,review
grateful for good news tw wsholm oyvswq elapdj ncdxel,positive,tweet
this is amazing work tw bwzjgy rblodt vxrhxu rmhqzz,positive,tweet
weather looks okay today tw lgvvhp pinbia nofbzb xoqjgn,neutral,tweet
meeting at pm work tw eeygct mimhbb jaegns gnzenr,neutral,tweet
meeting at pm work tw eyrvsk atbwyl sdyctc qnxfxg,neutral,tweet
weather looks okay today tw utyoai yntipu fkqpqj ujirhk,neutral,tweet
lunch was fine tw mweypz ptnvha jiqgzn brykiv,neutral,tweet
so proud of everyone today winning tw vgmkic yiluqm vrkadi fsibdt,positive,tweet
excellent quality and fast shipping rv onmdba qutvrz vpwmda rcjglm,positive,review
terrible experience today tw dwrzsf idtkuw mvywek fuywkv,negative,tweet
this is unacceptable tw otlzvw zcgocc mfjcdf idwepe,negative,tweet
disappointed again fail tw htohls vuocap ekwmvg wmwnxt,negative,tweet
amazing value for the price rv flecum aekfgs iycexv xasijx,positive,review
reading the news tw tirodx iuyqkk fikzpy rovdvk,neutral,tweet
amazing value for the price rv usfakf fesstg xnfdxn zkvscu,positive,review
amazing value for the price rv jyegai cxyeae pbndlt fphrpi,positive,review
not worth the money at all rv vrtham hylpru wavhor sydved,negative,review
stopped working after two days rv uyncea zsfrcw ukprbn vczxtb,negative,review
weather looks okay today tw hvggjf nihgyl aeodma oxxgmb,neutral,tweet
this is amazing work tw wljedm qsjfcb jjoxqt qknvek,positive,tweet
lunch was fine tw amsjat maahkn eihsvy krouvg,neutral,tweet
best day ever blessed tw qnosbr ovzjxa miaxgs cbnlwc,positive,tweet
weather looks okay today tw sigacf bixpzc hofvpd cvozkt,neutral,tweet
train delayed as usual tw onfasb vcyiwj xpgzia vighwo,neutral,tweet
refund process was a nightmare rv dlwsop hqliwm negehn bmmzot,negative,review
train delayed as usual tw flbrfv ndcyfg cendnh wfiwqw,neutral,tweet
perfect fit and great material rv dbrbyd zzqdbg azxznr hdomiy,positive,review
average product for the category rv kyvdcm arslqs obzydl vffdyg,neutral,review
average product for the category rv uopfqy ockmlt nvtlow svjlpk,neutral,review
amazing value for the price rv junexa elqxwf ljgcqg zfwrzd,positive,review
not happy with this outcome angry tw wvgkpq zyvkft jlngpu zcrgji,negative,tweet
terrible experience today tw houmdx qexyza tdmmad ayubeh,negative,tweet
grateful for good news tw vxjasy jugkgg jirkyo vdiefi,positive,tweet
disappointed again fail tw udyygv dftwfa rozkdb esgufc,negative,tweet
perfect fit and great material rv nifazj knlpyo krasoz jykhgz,positive,review
not happy with this outcome angry tw vpvdve ruxpcz wkhsyt cukmwx,negative,tweet
average product for the category rv uwuzhk wlyezr gugpfv rzpwlm,neutral,review
so proud of everyone today winning tw hdodue pwjqwi npphor emgtqx,positive,tweet
reading the news tw xlpisr rxkuvk qevvws qvizty,neutral,tweet
neutral experience overall rv deivbe ljkkav bkjsbq xxbvss,neutral,review
not worth the money at all rv djqnbb ulybaw tfiitw ufqorp,negative,review
not worth the money at all rv rggygn ovsmaz qfwrtm pxxucw,negative,review
average product for the category rv gououj hlixbw wjpmfk xvgtlb,neutral,review
lunch was fine tw cwyeyu blimio uzkjrt kjpqpm,neutral,tweet
meeting at pm work tw whkupz irkszk wgekzu shwsth,neutral,tweet
neutral experience overall rv zqwlpc ggtyvt nwfonr ncfphj,neutral,review
excellent quality and fast shipping rv wiisoj hsinia qyvvwr fehbsk,positive,review
refund process was a nightmare rv iurnyw ycrmvx oanmgf bycmyf,negative,review
poor quality and misleading description rv xfynid fynaqi qdqzuo mfastb,negative,review
this is amazing work tw pbumli xalzcl hxvudy sxykeb,positive,tweet
amazing value for the price rv loqbaf uivjgz yegmff dmsbzm,positive,review
this is unacceptable tw hyrjks mbtili vizuzy tadjsv,negative,tweet
train delayed as usual tw itbyee qjahls lwjjwf sujpwo,neutral,tweet
refund process was a nightmare rv limxxw clvpjs gelcdi wzsoqq,negative,review
love this update happy tw jkozgq plpdox wokcjb zwdaku,positive,tweet
reading the news tw xgzgtq oidchf kxpxsp byvmww,neutral,tweet
delivery took about a week rv exzogm vmhvxf lxmvzo gxwffx,neutral,review
love this update happy tw fddqeh gtqili zmclmo shwhjv,positive,tweet
best day ever blessed tw cuuybc mmmrpb uawfcp nuzksd,positive,tweet
customer service resolved everything quickly rv onhrar hsbxmy kibflt xtrkdw,positive,review
weather looks okay today tw htyyff aupxdk cdmswv mznmwp,neutral,tweet
perfect fit and great material rv djykjg wzbosn hvyohd vaaruv,positive,review
poor quality and misleading description rv qumuzy dqyeza upammw ytbdbo,negative,review
love this update happy tw nirief siakow ebektb yutvjp,positive,tweet
not happy with this outcome angry tw gcxvst ekvxxx xkaeoe pkdzvn,negative,tweet
excellent quality and fast shipping rv updexv cejcgs hywntm orsuom,positive,review
lunch was fine tw swcsoc dcfxcf ksuayf zagulo,neutral,tweet
this is unacceptable tw cdfhqw yuyetv nzkopx eifvsk,negative,tweet
customer service resolved everything quickly rv gfqqbw srgfed bdafhf aacwqm,positive,review
love this update happy tw vdeyzn biuewe hewkhy vmpesu,positive,tweet
average product for the category rv kwltvv zwbyum wfypqp tbflsd,neutral,review
worst service ever tw jtrerx fimojo jmrtpc kewpge,negative,tweet
weather looks okay today tw iwzlzz inllhk rlcwek whzrse,neutral,tweet
love this update happy tw jstdkj ourqpe qoigzd kfxoui,positive,tweet
